Index,Wastewater Treatment Plant,County,Date,Population Served,Viral Gene Copies Per Person,Viral Gene Copies/L
1,Albemarle (CDC Contract),Stanly,7/31/2023,20000,164211596,370771
2,Albemarle (CDC Contract),Stanly,7/26/2023,20000,82636850,164138
3,Albemarle (CDC Contract),Stanly,7/24/2023,20000,320657215,407357
4,Albemarle (CDC Contract),Stanly,7/19/2023,20000,87995370,158136
5,Albemarle (CDC Contract),Stanly,7/17/2023,20000,78114076,139903
6,Albemarle (CDC Contract),Stanly,7/12/2023,20000,201051628,300070
7,Albemarle (CDC Contract),Stanly,7/10/2023,20000,189682672,228287
8,Albemarle (CDC Contract),Stanly,7/5/2023,20000,175302557,308735
9,Albemarle (CDC Contract),Stanly,7/3/2023,20000,101297370,129275
10,Albemarle (CDC Contract),Stanly,6/28/2023,20000,26928439,30796
11,Albemarle (CDC Contract),Stanly,6/26/2023,20000,253319357,265556
12,Albemarle (CDC Contract),Stanly,6/21/2023,20000,10282161,0
13,Albemarle (CDC Contract),Stanly,6/19/2023,20000,17380172,44361
14,Albemarle (CDC Contract),Stanly,6/14/2023,20000,51286650,103424
15,Albemarle (CDC Contract),Stanly,6/12/2023,20000,19896169,42048
16,Albemarle (CDC Contract),Stanly,6/7/2023,20000,39995998,50810
17,Albemarle (CDC Contract),Stanly,6/5/2023,20000,8734009,18912
18,Albemarle (CDC Contract),Stanly,5/31/2023,20000,125726928,187119
19,Albemarle (CDC Contract),Stanly,5/30/2023,20000,118612722,159462
20,Albemarle (CDC Contract),Stanly,5/24/2023,20000,149517996,298103
21,Albemarle (CDC Contract),Stanly,5/22/2023,20000,173971834,360460
22,Albemarle (CDC Contract),Stanly,5/17/2023,20000,331783021,565471
23,Albemarle (CDC Contract),Stanly,5/15/2023,20000,316267627,568363
24,Albemarle (CDC Contract),Stanly,5/10/2023,20000,207850505,300868
25,Albemarle (CDC Contract),Stanly,5/8/2023,20000,258730410,395084
26,Albemarle (CDC Contract),Stanly,5/3/2023,20000,20550970,19116
27,Albemarle (CDC Contract),Stanly,5/1/2023,20000,196244598,113317
28,Albemarle (CDC Contract),Stanly,4/26/2023,20000,156072107,225918
29,Albemarle (CDC Contract),Stanly,4/24/2023,20000,207871751,264076
30,Albemarle (CDC Contract),Stanly,4/19/2023,20000,320349742,376123
31,Albemarle (CDC Contract),Stanly,4/17/2023,20000,175034636,173832
32,Albemarle (CDC Contract),Stanly,4/12/2023,20000,143761597,83376
33,Albemarle (CDC Contract),Stanly,4/10/2023,20000,60583425,16117
34,Albemarle (CDC Contract),Stanly,4/5/2023,20000,136546931,158907
35,Albemarle (CDC Contract),Stanly,4/3/2023,20000,173939346,205593
36,Albemarle (CDC Contract),Stanly,3/29/2023,20000,188591155,106001
37,Albemarle (CDC Contract),Stanly,3/27/2023,20000,252446843,322952
38,Albemarle (CDC Contract),Stanly,3/22/2023,20000,560428971,771094
39,Albemarle (CDC Contract),Stanly,3/20/2023,20000,289550386,354948
40,Albemarle (CDC Contract),Stanly,3/15/2023,20000,224929120,245032
41,Albemarle (CDC Contract),Stanly,3/13/2023,20000,53450261,67902
42,Albemarle (CDC Contract),Stanly,3/8/2023,20000,109209498,139037
43,Albemarle (CDC Contract),Stanly,3/6/2023,20000,220796668,286626
44,Albemarle (CDC Contract),Stanly,3/1/2023,20000,606178701,786909
45,Albemarle (CDC Contract),Stanly,2/27/2023,20000,1122806546,1453995
46,Albemarle (CDC Contract),Stanly,2/22/2023,20000,940542304,928844
47,Albemarle (CDC Contract),Stanly,2/20/2023,20000,730427395,677049
48,Albemarle (CDC Contract),Stanly,2/15/2023,20000,600542329,308652
49,Albemarle (CDC Contract),Stanly,2/13/2023,20000,66228368,17237
50,Albemarle (CDC Contract),Stanly,2/8/2023,20000,1266517328,1227815
51,Albemarle (CDC Contract),Stanly,2/6/2023,20000,773536603,592311
52,Albemarle (CDC Contract),Stanly,2/1/2023,20000,1470593394,1214034
53,Albemarle (CDC Contract),Stanly,1/30/2023,20000,808825789,764472
54,Albemarle (CDC Contract),Stanly,1/25/2023,20000,691091024,520877
55,Albemarle (CDC Contract),Stanly,1/23/2023,20000,652112261,407741
56,Albemarle (CDC Contract),Stanly,1/18/2023,20000,1048894271,1099561
57,Albemarle (CDC Contract),Stanly,1/17/2023,20000,1111306370,1238722
58,Albemarle (CDC Contract),Stanly,1/11/2023,20000,1708824928,1941614
59,Albemarle (CDC Contract),Stanly,1/9/2023,20000,1458588661,1541278
60,Albemarle (CDC Contract),Stanly,1/4/2023,20000,1230495615,1547922
61,Albemarle (CDC Contract),Stanly,1/3/2023,20000,2256746341,3088970
62,Albemarle (CDC Contract),Stanly,12/21/2022,20000,239792736,347105
63,Albemarle (CDC Contract),Stanly,12/19/2022,20000,883492499,1149728
64,Albemarle (CDC Contract),Stanly,12/14/2022,20000,681212317,1228381
65,Albemarle (CDC Contract),Stanly,12/12/2022,20000,702447705,1117877
66,Albemarle (CDC Contract),Stanly,12/7/2022,20000,469537068,716988
67,Albemarle (CDC Contract),Stanly,12/5/2022,20000,735250233,1191615
68,Albemarle (CDC Contract),Stanly,11/30/2022,20000,730837768,1066671
69,Albemarle (CDC Contract),Stanly,11/28/2022,20000,534694013,448418
70,Albemarle (CDC Contract),Stanly,11/22/2022,20000,508159242,1048765
71,Albemarle (CDC Contract),Stanly,11/16/2022,20000,384597393,608384
72,Albemarle (CDC Contract),Stanly,11/14/2022,20000,476215331,1006425
73,Albemarle (CDC Contract),Stanly,11/9/2022,20000,384758645,819700
74,Albemarle (CDC Contract),Stanly,11/7/2022,20000,610292231,1203154
75,Albemarle (CDC Contract),Stanly,11/2/2022,20000,216651021,370442
76,Albemarle (CDC Contract),Stanly,10/31/2022,20000,298507246,769342
77,Albemarle (CDC Contract),Stanly,10/26/2022,20000,276643682,664380
78,Albemarle (CDC Contract),Stanly,10/24/2022,20000,207685127,540540
79,Albemarle (CDC Contract),Stanly,10/19/2022,20000,134169274,337561
80,Albemarle (CDC Contract),Stanly,10/17/2022,20000,105876376,294418
81,Albemarle (CDC Contract),Stanly,10/12/2022,20000,189069533,456137
82,Albemarle (CDC Contract),Stanly,10/10/2022,20000,180333383,462516
83,Albemarle (CDC Contract),Stanly,10/5/2022,20000,313063665,692075
84,Albemarle (CDC Contract),Stanly,10/3/2022,20000,473743733,872127
85,Albemarle (CDC Contract),Stanly,9/28/2022,20000,304288653,784242
86,Albemarle (CDC Contract),Stanly,9/26/2022,20000,319994337,832846
87,Albemarle (CDC Contract),Stanly,9/14/2022,20000,623650897,855853
88,Albemarle (CDC Contract),Stanly,9/12/2022,20000,821937359,991477
89,Albemarle (CDC Contract),Stanly,9/7/2022,20000,570525968,633267
90,Albemarle (CDC Contract),Stanly,8/31/2022,20000,839483616,1945340
91,Albemarle (CDC Contract),Stanly,8/29/2022,20000,510925926,1356510
92,Albemarle (CDC Contract),Stanly,8/24/2022,20000,337478179,710379
93,Albemarle (CDC Contract),Stanly,8/22/2022,20000,872657295,1309843
94,Albemarle (CDC Contract),Stanly,8/17/2022,20000,592861593,1344360
95,Albemarle (CDC Contract),Stanly,8/15/2022,20000,479978788,1274345
96,Albemarle (CDC Contract),Stanly,8/10/2022,20000,906204146,1779885
97,Albemarle (CDC Contract),Stanly,8/8/2022,20000,921698921,2046116
98,Albemarle (CDC Contract),Stanly,8/3/2022,20000,1219879145,2708059
99,Albemarle (CDC Contract),Stanly,8/1/2022,20000,1447498924,3226919
100,Albemarle (CDC Contract),Stanly,7/27/2022,20000,1100709250,1958098
101,Albemarle (CDC Contract),Stanly,7/25/2022,20000,763041427,1866434
102,Albemarle (CDC Contract),Stanly,7/18/2022,20000,776458933,1634417
103,Albemarle (CDC Contract),Stanly,7/13/2022,20000,1028586737,1631980
104,Albemarle (CDC Contract),Stanly,7/11/2022,20000,1385983850,1028481
105,Albemarle (CDC Contract),Stanly,7/6/2022,20000,1285125476,2829127
106,Albemarle (CDC Contract),Stanly,6/29/2022,20000,269263744,615863
107,Albemarle (CDC Contract),Stanly,6/27/2022,20000,707759993,1755596
108,Albemarle (CDC Contract),Stanly,6/22/2022,20000,1940317872,4858572
109,Albemarle (CDC Contract),Stanly,6/20/2022,20000,888227496,2358247
110,Cary 1,Wake,8/30/2023,84189,43029664,142199
111,Cary 1,Wake,8/25/2023,84189,26794792,88812
112,Cary 1,Wake,8/23/2023,84189,48341346,159990
113,Cary 1,Wake,8/18/2023,84189,58280834,188127
114,Cary 1,Wake,8/16/2023,84189,39756470,128518
115,Cary 1,Wake,8/11/2023,84189,24764432,80877
116,Cary 1,Wake,8/9/2023,84189,26520210,81580
117,Cary 1,Wake,8/4/2023,84189,34798383,103467
118,Cary 1,Wake,8/2/2023,84189,20950319,65626
119,Cary 1,Wake,7/28/2023,84189,39110181,118829
120,Cary 1,Wake,7/26/2023,84189,28809668,90372
121,Cary 1,Wake,7/21/2023,84189,25806239,74830
